IEMG_1,IEMG_2,MAV_1,MAV_2,SSI_1,SSI_2,VAR_1,VAR_2,RMS_1,RMS_2,AAC_1,AAC_2,WL_1,WL_2,ZC_1,ZC_2,WA_1,WA_2,SSC_1,SSC_2,LD_1,LD_2,DSDAV_1,DASDV_2,EMAV_1,EMAV_2,EWL_1,EWL_2,MAV1_1,MAV1_2,MAV2_1,MAV2_2,MFL_1,MFL_2,MYOP_1,MYOP_2,FR_1,FR_2,TTP_1,TTP_2,MNP_1,MNP_2,MFN_1,MFN_2,MFD_1,MFD_2,MMFD_1,MFMD_2,MMFN_1,MMFN_2,movement
2271.364042,1396.653256,0.757121347,0.465551085,2874.170539,1104.317979,0.958376305,0.368228736,0.978803783,0.606717391,0.938972777,0.620994396,2816.918332,1862.983187,1228,1373,2962,2965,1608,1807,0.487568022,0,1.230594579,0.822110528,0.781012168,0.569653519,2681.021955,2057.292717,0.587119235,0.362123375,0.430656056,0.266967668,4.21051454,3.807136658,0.99,0.982,0.000735917,0.000234882,162.9009285,62.39382191,0.054300309,0.020797941,1.344785128,1.483217655,81.45046424,31.19691095,29.93034707,19.18297286,124.7345028,124.561317,hook
1553.738529,1290.363589,0.517912843,0.430121196,1346.650205,960.8205774,0.44903308,0.320380319,0.669987613,0.565927138,0.629400908,0.560201635,1888.202724,1680.604904,1213,1328,2941,2930,1678,1765,0.335377823,0,0.836658563,0.754491828,0.60812906,0.536983527,2046.336261,1895.035825,0.392208109,0.324512316,0.273030985,0.227783639,3.824677868,3.721306258,0.985,0.975333333,0.001079592,0.000729118,77.30765809,55.2118846,0.025769219,0.018403962,1.320387018,1.443544342,38.65382904,27.6059423,20.60183136,17.54799309,124.6087202,124.5109319,hook
1687.093704,936.378664,0.562364568,0.312126221,1612.986177,490.5928969,0.53784134,0.163585494,0.73325443,0.404389621,0.693587957,0.379460339,2080.763872,1138.381018,1217,1181,2952,2912,1579,1715,0.3600097,0,0.913992367,0.50588182,0.640686862,0.439494005,2193.454686,1474.763243,0.425701551,0.233026901,0.304740387,0.166127634,3.913084031,3.321564895,0.988,0.972333333,0.001572043,0.000941146,92.59003653,28.50049396,0.030863346,0.009500165,1.324695567,1.308402978,46.29501827,14.25024698,22.47361995,12.22513719,124.6400914,124.313403,hook
1628.383422,1165.231307,0.542794474,0.388410436,1521.70172,794.2378595,0.507403041,0.264834231,0.712203557,0.514534696,0.663351727,0.499754279,1990.05518,1499.262838,1203,1318,2946,2928,1613,1753,0.340309453,0,0.897448915,0.671610085,0.624116584,0.502426277,2105.403376,1759.822246,0.412611284,0.292850796,0.286943984,0.207874979,3.894818009,3.604939752,0.987,0.978,0.000574693,0.000825566,86.78682316,44.1962482,0.028928941,0.014732083,1.332661662,1.391829398,43.39341158,22.0981241,21.93060306,15.90638022,124.6271533,124.4701117,hook
2465.526045,1271.578794,0.821842015,0.423859598,3646.198195,944.6033751,1.215804666,0.314972783,1.10245154,0.561130815,0.906789297,0.558338551,2720.367892,1675.015654,1105,1279,2963,2957,1507,1797,0.509272763,0,1.247503349,0.760020448,0.800451022,0.52907689,2542.544138,1873.228632,0.602288653,0.313455274,0.422922404,0.222143936,4.224161323,3.728607149,0.991333333,0.979333333,0.000820991,0.000712959,210.1607562,54.94203177,0.070053585,0.018314011,1.169875146,1.472817988,105.0803781,27.47101589,32.26312427,17.48794804,124.7575703,124.5180914,hook
2121.149543,1327.099432,0.707049848,0.442366477,2539.146263,1041.06764,0.846664309,0.347138259,0.919990265,0.589086196,0.777522127,0.606250252,2332.56638,1818.750756,1125,1420,2961,2951,1496,1828,0.453848281,0.27278494,1.038491927,0.821623823,0.738133272,0.546595383,2343.412321,1998.93098,0.528341636,0.338983221,0.388191554,0.257290881,4.04078668,3.806544464,0.988,0.982,0.000695868,0.001157223,137.0792883,59.6967655,0.045693096,0.019898922,1.165518776,1.537925557,68.53964413,29.84838275,27.01600025,18.43245675,124.6954883,124.5397666,hook
2052.844973,1132.868398,0.684281658,0.377622799,2568.755874,728.1391039,0.85653747,0.242793966,0.925338834,0.492659147,0.747328228,0.501975119,2241.984684,1505.925358,1086,1358,2956,2926,1474,1799,0.414196604,0.240300232,1.033050156,0.679354724,0.718789745,0.496342757,2275.871733,1763.8469,0.511650155,0.286600315,0.397690333,0.207205892,4.035532832,3.616405223,0.986333333,0.98,0.000641671,0.000203592,151.2584586,42.14061535,0.050419486,0.014046872,1.13943605,1.505372541,75.62922928,21.07030768,27.02790083,15.35201996,124.7065283,124.4453456,hook
1645.147845,851.571545,0.548382615,0.283857182,1702.957852,413.1061317,0.567841898,0.13774796,0.753427248,0.37108226,0.604875661,0.35623272,1814.626982,1068.698159,1025,1192,2939,2909,1481,1758,0.326159526,0,0.860970648,0.497609561,0.622808149,0.414566589,1966.327189,1405.547256,0.417467861,0.217432185,0.33234897,0.158053022,3.853322224,3.305077566,0.982,0.972,0.00121295,0.000329571,103.1510295,23.69461155,0.034383677,0.007898204,1.173279698,1.435028683,51.57551477,11.84730578,21.91709132,11.12490556,124.6256438,124.2209843,hook
1991.397878,830.49549,0.663799293,0.27683183,2393.382206,388.579684,0.798060089,0.129569751,0.893193187,0.359897987,0.729068923,0.346046506,2187.206768,1038.139518,1069,1188,2944,2896,1485,1758,0.402249861,0,1.027654825,0.47459447,0.710031293,0.407966989,2232.102649,1384.465212,0.509327321,0.213427087,0.391585775,0.153872102,4.030296426,3.257722503,0.985333333,0.968333333,0.000930296,0.000304028,139.2682712,21.95188313,0.046422757,0.007317294,1.189261901,1.396974149,69.63413561,10.97594156,25.88945208,10.79743493,124.6925483,124.1948059,hook
2457.424334,1015.380609,0.819141445,0.338460203,3341.34272,580.0211348,1.114152291,0.193404847,1.055358189,0.439704876,0.906746985,0.443689831,2720.240956,1331.069492,1114,1284,2964,2945,1448,1831,0.532995653,0,1.208128777,0.597266345,0.819650129,0.462920286,2601.816297,1633.434636,0.623812975,0.25540397,0.420124913,0.169534339,4.192089787,3.487624963,0.991,0.978,0.001762535,0.000538643,189.3494982,33.25695689,0.063116499,0.011085652,1.184312665,1.476940821,94.6747491,16.62847845,30.60019671,13.37590612,124.7382389,124.3552696,hook
